Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
CH BGE Ms. fr. 6871-6928,Papiers Robert Esnault-Pelterie,1857-1959,1857/1959,5.6 m,"Esnault-Pelterie, Robert (1881-1957)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtacf536ff714fa6f64,"Robert [Albert Charles] Esnault-Pelterie est né à Paris le 8 novembre 1881 dans une famille d'industriels. Il est décédé à Nice le 8 décembre 1957 après avoir vécu pendant quelques années à Genève. Esnault-Pelterie est licencié ès sciences physiques de l'Université de Paris en 1902. Récompensé à de multiples reprises, il est notamment lauréat de la Société des Ingénieurs Civils de France en 1908, lauréat de l'Académie des Sciences en 1909, lauréat de la Société Astronomique de France en 1930, membre de la Société Française de Physique, membre de la Société des Ingénieurs Civils de France, membre de la Société Astronomique de France, membre de la Société de Navigation Aérienne, membre de la Commission Interministérielle de l'Aéronautique Civile, président de la Société des Savants et Inventeurs de France, membre de l'Académie des Sciences en 1936 et officier de la Légion d'Honneur. Robert Esnault-Pelterie commença très tôt, dès 1898, à s'intéresser à l'aéronautique. Il entreprit, en 1901, des études expérimentales sur les surfaces portantes et le moteur. Il devint ainsi l'un des trois ou quatre créateurs dans ce nouveau domaine technique, l'aviation. Il construisit en 1906 un monoplan à moteur à l'avant, innovation extraordinaire pour l'époque. Avec cet appareil, il obtint son brevet de pilote. En 1908, la médaille d'or de la Société des Ingénieurs Civils de France le récompensa pour sa théorie mathématique du moteur en étoile. Il fut également l'inventeur du levier unique de commande d'un avion: le manche à balai. Sa découverte, copiée et utilisée à de maintes reprises malgré un brevet exclusif, lui valut de longs combats procéduriers. Ses connaissances approfondies en balistique, en mécanique céleste, en astrophysique, en physico-chimie comme en physiologie le poussèrent à s'intéresser de très près à l'astronautique. L'étude scientifique d'une chambre à combustion pour fusée mue par moteur à réaction offrant la possibilité de s'arracher à la gravité terrestre, fut abordée par Robert Esnault-Pelterie en 1907 déjà. Le 15 novembre 1912, il fit date par une communication sur le sujet à la Société Française de Physique, sous le titre prudent de ""Considérations sur les résultats d'un allégement indéfini des moteurs"". Il n'osait pas en ce moment historique donner un titre trop anticipatoire à sa conférence par crainte d'effrayer ses auditeurs. Le 8 juin 1927, il commenta une conférence sur invitation de la Société Astronomique de France ayant pour titre ""L'exploration par fusées de la très haute atmosphère et la possibilité des voyages interplanétaires"" soulevant bien des controverses dans la presse et les milieux autorisés. De cette conférence l'on tira un premier ouvrage publié en 1928. En 1930, il publie un second livre, sous le titre définitif ""L'astronautique"" constituant avec ""L'astronautique (complément)"" publié en 1935 la base fondamentale de toutes les publications éditées ultérieurement ayant trait aux fusées. Dès lors, il poussa fort loin sa théorie scientifique sur un dispositif de propulsion capable de transporter des êtres vivants dans notre proche univers. En 1930, il réalisa au banc, des essais qui donnèrent 300 kg de poussée pendant 55 secondes. Ces résultats correspondaient à une fusée d'un poids initial de 100 kg pouvant atteindre une altitude de 100 km. Il fut avec le Général Ferrié (président de la Société Astronomique de France) l'un des premiers à avoir envisagé l'utilisation de l'énergie atomique comme combustible pour fusées et l'un des premiers savants à affirmer ""que peut-être, dans un jour prochain, l'humanité saura disposer de la formidable énergie atomique"". Il exerça son savoir et son effort dans tous les domaines de l'application des sciences : électricité, mesures thermo-électriques, magnétisme, viscosité, compressibilité, hystérésis élastique, phénomènes thermodynamiques, explosifs. Vers le milieu de l'année 1914, l'imagination active de Esnault-Pelterie le porta à se préoccuper de l'utilisation de l'énergie fournie par les marées. Cette géniale idée l'obligea à une étude très poussée. Sachant que l'énergie utilisable dans les marées est discontinue, il était impossible de songer à emmagasiner par quelque procédé que ce soit une aussi grande quantité de travail. L'ingénieur trouva un procédé de vidage et remplissage de deux bassins par lesquels on pouvait obtenir une puissance constante. Ce fut l'objet d'un brevet le 25 mai 1915. La passion de la mécanique automobile dirigea ses recherches dans l'élaboration des théories suivantes : le moteur balistique, le dispositif de liaison des bielles, la pompe à percussion, la transmission hydraulique de puissance, l'embiellage, la suspension automobile, le changement de vitesse, le démarreur, la servo-direction, etc. Enfin, de 1949 jusqu'à sa disparition en décembre 1957, Esnault-Pelterie orienta les études et la mise au point d'un appareil pour ""électro-chocs"" destiné au traitement des maladies nerveuses. Cet appareil fut doté d'un dispositif électronique régulant l'administration au patient d'une succession d'impulsions électriques douces. [D'après Géraud Garcia, catalogue dactylographié 37, f. 59-61]"
"CH BGE Ms. fr. 1783, 1824 ; non catalogué (1995/32, 1997/33)",Papiers Sven Stelling-Michaud,20e s.,1900/1999,3.4 m,"Stelling-Michaud, Sven (1905-1986)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta5f196aa0889cfe04,"Sven Stelling-Michaud est né le 15 août 1905 à Copenhague, et est décèdé le 9 février 1986 à Thônex. Il est le fils d'Ervin, danois, industriel chimiste, et de Jeanne Michaud. Il obtient son baccalauréat à Lausanne en 1925 et fait ensuite des études d'histoire et littérature médiévales, d'histoire de l'art et de philosophie à Zürich et à Paris. Il obtient son doctorat à Lausanne, en 1935. Sven Stelling-Michaud est l'éditeur des ""Cahiers romands"" (1929-1934), le rédacteur adjoint du ""Journal de Genève"" (1942-1947) puis il est nommé professeur d'Histoire moderne à l'Université de Genève, à partir de 1943. Il est par ailleurs membre et président de plusieurs sociétés. Sven Stelling-Michaud a également publié de nombreux ouvrages de référence, en particulier sur l'histoire des universités européennes, dont, avec son épouse, ""Le Livre du Recteur de l'Académie de Genève"" (6 vol., 1959-1980). D'après Salomon Rizzo ""Stelling-Michaud, Sven"", dans ""Dictionnaire historique de la Suisse"" : http://www.hls-dhs-dss.ch/textes/f/F31591.php"
"CH BGE Non catalogué (1957/039, 2000/024)",Papiers Ellen Reibold de la Tour,19e - 20e s.,1800/1999,7.6 m.,"Reibold de la Tour, Ellen Léopoldine Mary (1882-1986)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadf6ef3e23581a02c,Femme de lettres
"CH BGE Ms. fr. 6981-7080bis, 7859-7860",Papiers Marcel Raymond,1905-1987,1905/1987,6.2 m,Raymond Marcel (1897-1981),Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8acb153526e40538,"Marcel Raymond est né à Genève le 20 décembre 1897, fils de Charles et d'Alice Bordairon, professeurs au Collège moderne. Il épouse Claire Duchosal, fille d'Henri, directeur de l'école secondaire de jeunes filles. M. Raymond fait ses études au Collège moderne jusqu'à la licence ès lettres. Il les poursuit à Paris, où il soutient en 1927 sa thèse à la Sorbonne sur ""L'influence de Ronsard sur la poésie française de 1550 à 1585"". De 1926 à 1928, il est lecteur de français à l'Université de Leipzig, puis il revient à Genève où il enseigne à l'Ecole secondaire et supérieure de jeunes filles. Il est ensuite professeur de langue et littérature françaises à l'Université de Bâle, jusqu'à ce que celle de Genève fasse appel à lui en 1936 pour remplacer Albert Thibaudet; il y restera jusqu'à sa retraite en 1962. En 1933, Marcel Raymond publie l'ouvrage qui devait assurer sa renommée internationale de critique littéraire: ""De Baudelaire au surréalisme"". Dès lors, les cours généraux et les séminaires à l'Université alterneront avec les grandes publications: ""Génies de France"" (1942), ""Valéry et la tentation de l'esprit"" (1946), ""Baroque et renaissance poétique"" (1955), etc. La mort de son épouse, née Claire Duchosal, survenue dans la nuit de Noël 1963, a douloureusement et profondément affecté Marcel Raymond. De cette expérience bouleversante naîtront les ""Poèmes pour l'absente"" (1966) et plusieurs livres autobiographiques: ""Mémorial"", ""Le sel et la cendre"". Marcel Raymond publie également ses correspondances avec Albert Béguin et avec Georges Poulet. Il poursuit ses travaux critiques: en 1963, il dirige pour la Pléiade la parution des oeuvres complètes de J. J. Rousseau. En 1964 paraît un ""Senancour"", l'année suivante un ""Fénélon"". En 1971 ""La poésie française et le maniérisme"", en 1972 les ""Etudes sur Jacques Rivière"", en 1978 ""Romantisme et rêverie"". Le regard critique de Marcel Raymond a exploré toutes les époques de la littérature française, dans ses ouvrages, ses éditions et choix de textes, ses préfaces et ses nombreux essais, articles et comptes rendus. Cette oeuvre a été récompensée par de nombreux prix et nominations. Membre de l'Académie royale de Belgique depuis 1962, Marcel Raymond fut élu en 1977 à l'Académie de France. Il était docteur honoris causa des Universités de Montpellier, Liège, Glasgow, Aix-en-Provence, Rome, Nancy, Lausanne, Lyon et Paris. Marcel Raymond est décédé le 28 novembre 1981 à Genève. [D'après Corinne Chevrot, 2002. Complété par Arnaud Tripet, ""Raymond, Marcel"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F16158.php, version du 27/04/2012] ]"
CH BGE Ms. fr. 5723-5724,Papiers Regny-Castellini,1732-1879,1732/1879,0.2 m,"Regny-Castellini, famille (18e - 19e s.)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta86e9090788f61131,"La famille Regny était originaire de la province de Dombes. Au début du 18e siècle, François Regny s'établit avec sa famille à Gênes, où il était chargé de la ""Direction des dépêches du Roy"". Dès lors, Gênes devint pendant plusieurs générations la seconde patrie de la famille Regny, qui garda cependant la nationalité française. Des trois fils de François Regny, l'aîné François lui succéda dans sa place de Directeur des dépêches du Roy, puis il fut nommé consul général de France auprès de la Sérénissime République. Les deux autres frères, Alexis et Aimé, se réunirent pour fonder à Gênes une maison de commerce et de banque qui fut l'une des plus considérables d'Italie. Aimé Regny, qui retourna ensuite s'établir à Lyon, était l'arrière-grand père d'Alphée, Léon et Eugène de Regny (la famille avait entretemps pris la particule ""de""). La bibliothèque ne conserve pas les papiers de leur père Arthémond ni de leur grand-père Alexis-Antoine. Arthémond de Regny avait épousé en 1798 la Gênoise Catherine Castellini, fille de Balthasar et petite-fille de Domenico Castellini, vainqueur des Algériens en 1763. Balthasar Castellini fut consul de Naples successivement à Carthagène (Espagne), Marseille et Gênes. Il fut chargé d'importantes missions par la cour royale de Naples, et occupa également une position éminente dans le commerce. Concernant la famille, voir: - Divers arbres généalogiques dans une enveloppe au début du carton Ms. fr. 5723 (non folioté) - La notice sur la famille Regny faite par Alphée de Regny, Ms. fr. 5723/3 - La notice sur la famille Castellini faite par Eugène de Regny, Ms. fr. 5724/2 [Corinne Chevrot, catalogue dactylographié 29, f. 116]"
CH BGE Ms. fr. 8294-8391,"Papiers des familles de Morsier, Naville et Claparède",1784-1997,1784/1997,7.7 m,"Famille de Morsier, Naville et Claparède",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta1b28edb775f2ed71,Voir au sein de chaque série
CH BGE Non catalogué (2013/16),Papiers Eric Fuchs,1981-2009,1981/2009,0.2 m,"Fuchs, Eric (1932 - )",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8bc10858eb053bcb,"Eric Fuchs naît à Genève le 28 décembre 1932. Après des études de théologie à Genève et à Montpellier, il est consacré pasteur en 1958. De 1960 à 1979, Eric Fuchs dirige le Centre protestant d'études et en 1973, il fonde l'Atelier oecuménique de théologie, dont il sera le directeur jusqu'en 1980. Il obtient un doctorat en 1978 et sa thèse ""Le désir et la tendresse"" connaîtra plusieurs éditions. Spécialiste de l'éthique chrétienne dans divers domaines (politique, conjugal, biologique), il enseigne l'éthique à l'Université de Lausanne, puis à celle de Genève, jusqu'en 1998. [D'après: Olivier Fatio, ""Fuchs, Eric"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F11117.php, version du 24/04/2003]"
"CH BGE Non catalogué (1978/002, 1979/038, 1988/033)",Papiers Jacques Urbain,20e - 21e s.,1900/2099,0.3 m.,"Urbain, Jacques",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtad0f629f628c593d0,"Poète, lauréat du prix de musicologie de la Fondation Meylan (1981), collaborateur de la Radio Suisse Romande"
CH BGE Ms. fr. 3155-3165,Manuscrits Claudius Fontaine-Borgel,1850-1900 et sans date,1850/1900,0.7 m,"Fontaine-Borgel, Claudius (1838-1900)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtab2892d9cfeb0aa85,Spécialiste d'histoire genevoise
CH BGE Ms. fr. 5401-5420,Papiers Charles Eggimann,1853-1946,1853/1946,1.1 m,"Eggimann, Charles (1863-1948)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta77de8312553082e9,"""Originaire de la commune bernoise de Gondiswil, Charles-Jean Eggimann est né à Orbe le 2 août 1863, fils de Samuel et de Jeanne-Louise-Suzanne Roy d'Agiez. Avec ses parents et son frère cadet Auguste, il vit dans la propriété du colonel et conseiller national Pierre-Charles-Edouard Bontemps dont la vaste bibliothèque ne devait pas tarder à devenir son lieu de prédilection. Obligé d'interrompre ses études à la suite de circonstances familiales, Charles Eggiman part pour Paris à l'âge de quinze ans : il y pratique un peu tous les métiers avant de revenir en Suisse où il se fait une situation dans l'administration des douanes, puis dans les chemins de fer. Mais, répondant à l'appel de l'artiste qui sommeille en lui, Eggimann lâche la fonction publique et la sécurité qu'elle offre pour se lancer, à Genève, dans la librairie et l'édition. Le 16 mars 1904, il épouse Adèle Bouvier, fille de l'éminent prédicateur et théologien genevois Auguste Bouvier, soeur de Bernard Bouvier, l'éditeur d'Amiel. Très cultivée, Adèle Bouvier s'intéressait autant à la littérature qu'à l'art. Elle sera pour son mari une compagne incomparable, l'épaulant de son intelligente bonté et de son caractère équilibré durant les années tragiques des deux guerres mondiales. En effet, aussitôt après son mariage, Eggimann s'est installé à Paris où il a racheté une maison d'édition d'art et d'architecture à laquelle il donne un essor remarquable. Ayant dû renoncer à éditer des ouvrages de luxe à la suite de la Grande Guerre, il se replie sur la librairie ancienne : il animera successivement, rue de Seine puis rue Bonaparte, deux boutiques de livres anciens, dessins et autographes qui comptaient parmi les meilleures de la capitale française. En 1938, Eggimann met un terme à son activité; il passe les années de guerre à Montauban, et meurt à Paris en février 1948. Devenu citoyen français, il était chevalier de la Légion d'honneur"". [Corinne Chevrot, 1982]"
CH BGE Ms. fr. 3615-3622,"Papiers Frédéric-Alexandre-Marie Jeanneret, dit abbé Jeanneret",1414-1781,1414/1781,0.2 m,"Jeanneret, Frédéric-Alexandre-Marie",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta87b222856ae0ecbc,"Frédéric-Alexandre-Marie Jeanneret est né le 4 juillet 1834 aux Verrières et est originaire de Travers. Il est placé, à l'issue de ses études, dans un atelier d'horlogerie de la Chaux-de-Fonds. Cette formation ne lui convenant guère, Frédéric Jeanneret entreprend une série de ""petits boulots"" : régent sur les Monts du Locle, puis colporteur de livres religieux et suffragant du ministre de Chambéry. Il décide pendant son séjour à Chambéry d'entrer dans l'église romaine et son abjuration se tient en la Cathédrale de Chambéry, puis il entre au séminaire. Le mode de vie de séminariste ne lui convenant toutefois pas, il part à Turin où il sera employé par le gouvernement à des recherches historiques, puis il devient rédacteur d'un journal d'Annecy (""Bon Sens""). Il s'établit dans les années 1850 à Carouge, puis dans les environs de 1860, il se fixe, à nouveau, dans la région de Neuchâtel. Sa production bibliographique est abondante et on lui doit notamment une série d'articles parus dans l'""Univers"" et ""Le Monde"" de Paris (1857-1861), mais également : ""De la propagation du protestantisme en France"" (Paris, 1859); ""Vie de très haulte, très puissante et très illustre dame madame Loyse de Savoye, religieuse au couvent de Madame Ste-Claire d'Orbe, escripte par une religieuse du dict couvent, précédée d'une notice sur le couvent d'Orbe et suivie de documents historiques"" (Genève, 1860); ""Etrennes neuchâteloises"" (Locle, 1861); ""Les sorciers dans le pays de Neuchâtel, recherches curieuses sur les procédures instruites pour faits de sorcellerie du 15e au 17e siècle"" (Locle, 1862); il entreprend finalement la ""Biographie neuchâteloise"" dont il produira uniquement le premier des deux volumes, le deuxième volume étant quant à lui rédigé par James Henri Bonhote. [d'après Frédéric-Alexandre-Marie Jeanneret, ""Biographie neuchâteloise"", tome 2, Locle, Chez Eugène Courvoisier, 1863, p. 555-558]"
CH BGE Ms. fr. 2491-2502,Papiers Frédéric Soret,1829-1864,1829/1864,0.40 m.,"Soret, Frédéric (1795-1865)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadacfb8721daae8b0,"Frédéric-Jacob Soret (1795-1865) est fils de Nicolas (1759-1830), peintre ordinaire de Catherine II de Russie, et de Jeanne Louise Duval (1772-1845). Il épouse en 1836 Elisabeth Bertheau, fille de Jean-Alexandre. Etudes de théologie à Genève, doctorat en 1819, études de minéralogie à Paris (1819-1820). Précepteur de Charles-Alexandre, futur grand-duc de Saxe-Weimar (1822-1836). De 1822 à 1832, Frédéric Soret est un interlocuteur privilégié de Goethe, dont il traduit l'un des essais en 1831. Il est aussi un ami de Rodolphe Töpffer. De retour à Genève, Frédéric Soret devient membre du Conseil représentatif (1836-1841), député à la Constituante (1841), au Grand Conseil (1842 et 1844) et à la Diète (1838, 1841 et 1845). [D'après Jacques Barrelet, ""Soret, Frédéric"" in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F7233.php, version du 08/12/2010] Il fut aussi conseiller aulique du grand-duc de Saxe-Weimar en 1825, son conseiller intime de légation en 1835 et ministre résident en France des grands-ducs de Saxe, d'Oldenbourg et de Mecklembourg-Schwerin, commandeur de l'ordre du Faucon, chevalier du Lion néerlandais et de St-Anne. Numismate particulièrement versé dans la numismatique orientale. Naturaliste et numismate, Frédéric-Jacob Soret (1795-1865) a deux frères : Frédéric (1793-) probablement mort en bas âge et [Marie]-Nicolas Soret (1797-1871) qui épouse en 1824 Anne-Louise-Junie Odier (1795-1859) dont il aura 3 fils : Frédéric-André (1825-1842), Louis-Jacques Soret (1827-1890) allié Clémentine Odier; et Edmond-François (1830-1832). Frédéric-Jacob Soret et son épouse Elisabeth Bertheau ont une fille Marie (1837-1928) qui épouse en 1856 Adrien Lecointe. Il était pendant un temps en possession des manuscrits d'Etienne Dumont reçu par legs (voir sous Dumont). [Compléments d'Hélène Denebourg, sur base du Galiffe, ""Recueil de généalogie suisse"", tome 4, Genève, 1908]"
CH BGE Ms. fr. 1227-1230,Papiers Henri Reverdin,1889-1966,1889/1966,0.3 m.,"Reverdin, Henri (1880-1975)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtab578a48a213d8de7,"Philosophe, professeur de philosophie à l'Université de Genève de 1919 à 1956. Il dirigea la Revue internationale de la Croix-Rouge pendant une vingtaine d'années."
CH BGE Ms. fr. 1833-1834,Papiers Manfred Schenker,1906-1959,1906/1959,0.2 m,"Schenker, Manfred (1883-1970)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta833227b249866daf,"Né à Genève en 1883, Manfred Schenker obtint une maturité classique au Collège de Genève en 1901. Il fit ses études universitaires à Leipzig, puis à Berne, où il obtint un doctorat en littérature comparée. Il fut en 1899, avec René Hoffmann et Ernest Schwartz, le fondateur de Spes, société d'élèves abstinents du Collège de Genève. Il participa aussi à la fondation de l'Association antialcoolique du corps enseignant genevois et de la Fédération antialcoolique genevoise. Professeur d'allemand au Collège de Genève, il fut l'auteur d'une ""Introduction à la littérature allemande"" en usage dans de nombreux établissements scolaires. Romancier et traducteur, il fut aussi l'auteur d'une traduction en suisse-allemand des Fables de La Fontaine"
"CH BGE Arch. Belles-Lettres 0, 1-247",Société de Belles-Lettres (Genève),1799 - 1974,1799/1974,11 m,Société de Belles-Lettres (Genève),Collectivités,Normal,https://archives.bge-geneve.ch/ark:/17786/vta2e0a8b9e68366dce,
CH BGE Non catalogué (2004/003),Papiers Pierre Bouru,1949-2001,1949/2001,1.5 m.,"Bouru, Pierre (né en 1928)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta8111493c73664298,"Batteur et musicien de jazz, fondateur de l'agence Unijazz, organisateur de concert et impresario"
CH BGE Ms. fr. 1531-1535,Papiers Giovanni Gambini,18e - 19e s.,1700/1899,0.3 m.,"Gambini, Giovanni (1762-1842)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta4ab0365813dad5cc,"Juriste d'origine sicilienne réfugié à Genève, professeur de littérature italienne, dit le ""Rousseau sicilien"""
CH BGE Ms. fr. 1825-1887,Papiers Charles Giron,1857-1945,1857/1945,0.2 m,"Giron, Charles (1850-1914)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadd9efa53959dfeaf,"Charles [-Alexandre] Giron (2 avril 1850 - 9 juin 1914) est fils d'Antoine-Alexandre, catholique venu d'Espagne via la Sardaigne, rentier, et de Marie Henriod, Huguenote neuchâteloise. Il se marie avec Jeanne Antoinette Forget, fille de Louis Ferdinand, négociant et propriétaire du Château Banquet à Sécheron. Après un apprentissage inachevé d'émailleur, Charles Giron fréquente l'atelier de François Diday et les classes de Barthélemy Menn à Genève, avant de passer, en 1872, dans l'atelier d'Alexandre Cabanel à Paris. Peintre de paysages et de portraits (considéré comme ""le plus parisien des peintres genevois"") et critique (défenseur de Ferdinand Hodler), il est très recherché par la haute société internationale pour ses portraits élégants. Il expose dès 1876 au Salon de Paris et reçoit la Légion d'honneur (1888) ainsi que de nombreuses autres distinctions européennes, dont cinq médailles d'or. Après avoir été actif à Paris et à Cannes, il retourne à Genève en 1896. Auteur de la peinture murale qui décore la salle du Conseil national (1901) et membre de la Commission fédérale des beaux-arts (1898-1900, 1903-1905, 1909-1912). Charles et Jeanne Giron auront trois enfants dont Simone, épouse de Louis de Pourtalès. D'après Lucien Boissonnas, ""Giron, Charles"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F22414.php, version du 09/09/2005, complété par des éléments de Giron, Simone, ""Charles Giron"", Genève, L'Epée, 1955"
CH BGE Ms. fr. 1603-1610,Papiers Gustave Rochette,1874-1893,1874/1893,0.3 m.,"Rochette, Gustave (1828-1895)",Personnes et familles,Description linéaire,https://archives.bge-geneve.ch/ark:/17786/vtaf36d79313ff94edb,"Géographe genevois, membre fondateur (1859) et président (1889-1890) de la Société genevoise de géographie."
CH BGE Ms. fr. 1630-1632,Collection d'autographes de Burkhard Reber,1871-1918,1871/1918,0.3 m.,"Reber, Burkhard (1848-1926)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa2affb5e64cab052,"Né le 11 décembre 1848 à Benzenschwil, Burkhard Reber fut directeur de la pharmacie de l'hôpital cantonal de Genève (1879-1885), puis pharmacien dans cette ville (1885-1889). Fondateur, directeur et rédacteur du ""Progrès"", revue internationale de pharmacie (1885-1889) , il devint par la suite conservateur du Musée épigraphique en 1908 et obtint son privat-docent de l'Université de Genève en 1913. Il abandonna encore jeune la pharmacie pour se vouer à l'archéologie et à la préhistoire sur lesquelles il a publié quantité d'articles et de notes. Il mourut à Genève le 9 juin 1926. Extrait de Patrick Zehnder, ""Reber, Burkhard"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F29599.php, version du 27.4.2012"
CH BGE Ms. fr. 2311-2326,Archives de la famille De la Rive,1680-1920,1680/1920,1.5 m.,"De la Rive, famille (18e-20e sècle)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta866397e1903bbe9a,"La famille De la Rive compte plusieurs scientifiques et magistrats genevois. Né le 14 mars 1770 à Genève, Charles-Gaspard De la Rive est banni de la ville lors des troubles politiques de 1794. Trois ans plus tard, il est docteur en médecine de l'Université d'Edimbourg. Il visite divers asiles en Angleterre. Il continue cette activité de retour à Genève, où il est médecin de l'hospice pour les aliénés. Il milite pour la construction d'un asile adapté aux nouvelles évolutions de la science des maladies mentales, lequel s'ouvrira en 1838. Gaspard De la Rive est professeur honoraire de chimie pharmaceutique (1802-1819) et de chimie générale à l'Académie (1819-1834) et recteur (1823-1825). Il collabore à la Bibliothèque britannique. Sur le plan politique, il est membre du Conseil provisoire (1813), conseiller d'Etat (1814-1818), membre du Conseil représentatif (1814-1832) et premier syndic de Genève (1817-1818). Il décède le 18 mars 1834 à Genève. Son fils Auguste naît le 9 octobre 1801 à Genève. Dès 1822, il enseigne la physique à l'Académie. Figure capitale de la communauté scientifique genevoise, il mène des travaux dans le domaine de l'électricité et publie notamment un ""Traité d'électrique théorique et appliquée"" (3 volumes, 1854-1858). En 1836, il reprend la rédaction de la ""Bibliothèque universelle"" et en 1841 initie le supplément ""Archives de l'électricité"" (dès 1846 ""Archives des sciences physiques et naturelles""). Il est membre de la Société Royale de Londres et un des huit associés étrangers de l'Académie des Sciences de Paris. Auguste De la Rive occupe les charges de secrétaire du Sénat académique (1823-1836) et de membre du Conseil représentatif (1829-1841). Jouant un rôle actif dans les réformes de l'instruction publique, il fonde le gymnase libre et y enseigne. Il est également député à la Constituante (1841, 1861) et au Grand Conseil (1842-1844, 1862-1864). Il décède à Marseille le 27 novembre 1873. Fils d'Auguste, William naît en 1827. Il est le biographe de son parent Camillo Benso, comte de Cavour. Homme de lettres, il est rédacteur au ""Journal de Genève"" et dirige dès 1885 la ""Bibliothèque universelle"". Il est également membre du Cercle démocratique et maire de Presinge, où il décède le 10 août 1900. Cavour (1810-1861), grand promoteur de l'unité italienne, naît à Turin de l'union de Michele Benso, comte de Cavour et de la Genevoise Adèle de Sellon, fille de Jacques et soeur de Jean-Jacques de Sellon. Il fait de nombreux séjours dans la famille maternelle, à Genève et à Allaman et chez Auguste De la Rive, à Presinge."
CH BGE Ms. fr. 3601-3606,Papiers de la famille de Bieux,1271-1815,1271/1815,0.3 m.,"Bieux, famille de",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaf8fda40718e49e75,"La famille de Bieux est une très ancienne famille de Flumet (Savoie) qui obtient de la Couronne les revenus de cette ville. Flumet est érigée, le 19 mai 1699, en comté sous le nom de Saint-Nicolas-de-Chapelle. La famille de Bieux porte les titres de seigneurs de Playsan, comtes de Saint-Nicolas-de-Chapelle et du Crest-Vollant. Elle est plus communément connue sous le titre de comtes de Flumet. Les armoiries de la famille se composent d'une partie d'or et de gueules, à biolle ou boullée arrachée de sinople brochant sur le tout. Supports et cimier, deux et un taureaux de gueules, accolés d'or. Le chanoine Million, à qui auraient appartenu ces papiers, a établi un arbre généalogique de la famille qui a permis au comte Eloi-Amédée-Jacques-François de Foras d'établir la généalogie publiée en 1853."
